Start_Lat,Start_Lng,Severity
26.581751,-81.713821,2
34.072678,-117.787613,3
34.460857,-82.68911700000002,2
33.898804,-118.370148,3
38.076405,-122.231857,3
37.88406,-122.053337,3
27.140423,-82.43058,2
41.95670300000001,-87.776871,2
28.536654,-81.017838,2
38.115883,-122.106354,3
34.094826,-118.310829,2
29.153873,-81.079002,3
42.973007,-83.771919,2
34.068493,-117.97396100000002,3
28.607473,-81.39304399999997,2
33.98032,-118.459282,2
33.176834,-117.227371,2
42.330173,-83.15106999999998,3
38.64604600000001,-121.225441,2
41.940636,-88.150421,2
38.629337,-90.325378,3
39.117805,-120.9496,2
38.49625,-121.371979,2
33.716034,-84.252487,3
37.421124,-122.092476,2
37.992344,-121.252716,2
38.593777,-121.28298999999998,3
27.601383,-82.52729000000002,2
42.461308,-83.106026,3
33.722378000000006,-117.79232,2
28.535322,-81.38333100000001,3
38.29031,-121.441452,2
38.018841,-121.948029,2
37.690559,-122.074669,3
34.058125,-118.214264,3
34.107983000000004,-117.746422,2
38.244255,-122.082726,3
28.07881,-80.705894,3
38.460133,-121.371742,2
33.704269000000004,-117.033844,2
32.980026,-117.252998,3
41.234203,-96.043213,2
34.094604,-117.987793,3
28.226707,-82.45770300000002,2
27.8505,-82.691872,2
26.54628,-81.871399,2
25.812199,-80.20585600000003,3
33.182362,-117.300377,2
40.68335,-73.804321,2
34.000122,-117.84745,2
41.482857,-93.780525,3
42.970039,-85.64715600000002,2
33.798912,-84.391708,2
41.292126,-96.177383,2
32.952358000000004,-117.103271,3
42.973831,-83.710052,2
34.106682,-117.855072,2
27.95644,-82.463272,3
34.260490000000004,-118.43898,3
33.687897,-117.905235,3
33.176311,-117.352386,2
41.190781,-96.061981,2
33.981213000000004,-117.972977,2
32.802956,-116.935661,3
37.598789,-122.060852,3
38.495804,-121.445557,2
34.054077,-118.237862,2
34.157112,-118.448685,2
28.047623,-82.738525,2
34.120487,-117.907539,3
36.418575,-121.323128,2
28.394547,-81.577873,2
32.778538,-117.112068,3
34.023434,-117.811623,2
38.590649,-121.858627,2
37.786533,-121.25221299999998,2
42.986855,-85.776825,2
42.939873,-85.678963,2
41.299683,-95.951645,2
28.50717,-81.417633,2
34.298813,-117.457321,3
41.859341,-88.04164899999998,2
42.92057,-85.569168,2
38.587082,-121.415314,2
34.014854,-118.485924,3
33.821533,-116.405373,2
42.951641,-85.667587,2
41.911194,-88.207146,2
34.034454,-118.028099,2
33.711597,-84.217415,3
27.76708,-82.644791,2
27.233261,-82.49754300000002,2
38.502556,-90.330345,3
41.161678,-96.004585,2
42.393929,-88.155739,2
42.379181,-83.033752,3
37.414558,-121.880264,3
33.987854,-118.399055,3
28.069267,-82.45458199999999,3
34.15062,-118.052155,3
33.904129,-84.275902,3
34.077251000000004,-117.550217,2
37.535507,-122.075211,2
32.707546,-117.007378,2
33.513977000000004,-82.05632800000002,2
36.999409,-122.021606,2
28.478745,-81.449173,2
34.311798,-117.47506,3
37.88406,-122.053337,3
27.806648,-82.662979,3
41.858894,-88.101089,2
33.887798,-117.279991,2
42.920155,-83.62068199999999,2
37.294685,-121.81015,2
37.595181,-122.058281,3
28.571236,-81.375641,3
42.984756,-83.73317,2
38.553822,-121.409431,2
33.892921,-118.27623,2
41.248264,-96.330376,2
25.761137,-80.371117,2
33.872032,-117.665222,2
28.518469,-81.296585,2
27.96475,-82.452522,3
33.936275,-84.366173,2
28.377274,-81.50460799999998,3
37.294281,-121.938446,2
33.447948,-82.006721,2
25.784826,-80.239441,2
34.03043,-117.676544,2
37.612343,-122.395111,2
37.37682,-121.941536,2
33.994232000000004,-117.888687,2
38.85841,-120.832924,2
34.284813,-118.794266,2
41.704311,-88.030647,3
37.807938,-122.304504,3
43.016052,-83.743629,2
33.710011,-117.782486,3
33.744976,-84.390343,3
43.025299,-83.68103,3
41.851559,-87.948196,2
34.036598,-118.381195,3
34.133472,-117.953835,3
26.682081,-81.895645,2
38.369675,-121.957893,3
34.061344,-118.178085,2
33.875389,-118.193047,2
25.777346,-80.16375699999998,3
41.845627,-88.011597,2
32.700977,-117.14248700000002,3
34.136196000000005,-117.490555,3
38.538242,-121.473648,2
41.690308,-87.78315,3
42.476501,-83.11179399999997,3
37.28785300000001,-121.946045,2
33.876099,-118.118958,2
33.781532,-84.390869,3
42.825008,-83.845993,2
25.784826,-80.239441,2
42.948872,-85.674728,2
28.18582,-82.353691,2
32.566841,-116.988289,2
34.035328,-118.369446,3
33.228313,-116.993637,2
34.465916,-118.197014,2
25.898684,-80.32437900000002,3
37.795105,-121.551201,2
32.821899,-117.146767,2
28.093578000000004,-82.739586,2
38.229431,-122.116776,3
34.01123,-84.067909,3
41.285042,-96.014359,2
27.417597,-82.560097,2
41.802418,-87.789238,3
34.176685,-81.933235,2
37.393188,-121.946777,2
32.8032,-117.11277,3
37.323067,-121.897224,2
34.266998,-118.443596,3
38.406982,-122.204185,2
37.414288,-121.880409,3
25.94499,-80.17100500000002,3
33.878292,-117.613831,2
38.482574,-120.83621200000002,2
38.771275,-90.279976,3
42.031979,-88.328941,2
28.065538,-82.504745,2
34.068493,-117.97396100000002,3
34.067986,-84.540375,3
34.087246,-117.65951499999998,3
42.995464,-85.693253,2
27.916525,-82.754189,2
41.28495,-96.000481,2
27.767559,-80.550919,3
33.546177,-84.577347,3
33.719887,-84.486351,2
33.62978,-84.414757,3
34.023659,-118.17271399999998,3
33.714588,-84.240868,3
33.916214000000004,-118.236847,2
37.701103,-122.02116399999998,3
38.348454,-122.705994,2
34.029205,-118.012451,2
41.942822,-71.475479,2
33.791626,-84.391701,3
34.152287,-118.113274,3
42.912819,-85.647102,2
34.117374,-83.762245,3
37.549999,-122.054871,2
